"remark,\"CSV-Import-Export\"
remark,\"Date = Thu Nov 03 21:57:14 2016\"
remark,\"Version = RSLogix 5000 v20.01\"
remark,\"Owner = Avid\"
remark,\"Company = Avid Solutions\"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,CM_200_XV_907,\"Process Feed to TP-361-002\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_907_DST,\"Process Feed to TP-361-002 Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_908,\"PROCESSS FEED TO TP-361-002\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_908_DST,\"PROCESSS FEED TO TP-361-002 Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_909,\"PROCESS WASTE\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_909_DST,\"PROCESS WASTE Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_ZSC_909_DST,\"PROCESS WASTE ZSC Feedback Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_ZSO_909_DST,\"PROCESS WASTE ZSO Feedback Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_XV_910,\"PROCESS WASTE\",\"P_ValveSO\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_SV_910_DST,\"PROCESS WASTE Output Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_ZSC_910_DST,\"PROCESS WASTE ZSC Feedback Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
